property_id,price,categories,bedrooms,bathrooms,garage,area,location,amenities,furnished
1606901421-4691,12075,Apartment for Rent,2,2,0,150,"Ringway Estates, Accra, Ghana",Listed,Furnished
1606901428-4694,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606901437-4696,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606901447-4700,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606901455-4702,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606901468-4706,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606901477-4709,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606901487-4712,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606901495-4715,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606901522-4723,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606901533-4727,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606901540-4729,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606901544-4732,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606901551-4734,8050,Apartment for Rent,1,1,0,80,"Osu ,Accra,Ghana",Listed,Furnished
1606901558-4737,14375,Apartment for Rent,2,3,0,140,"Osu ,Accra,Ghana",Listed,Furnished
1606901566-4740,7418,Apartment for Rent,2,2,0,140,"Shiashie, Accra, Ghana",Listed,Furnished
1606901572-4743,12075,Apartment for Rent,2,2,0,150,"Ringway Estates, Accra, Ghana",Listed,Furnished
1606901580-4746,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606901590-4749,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606901597-4753,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606901604-4755,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606901612-4758,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606901618-4761,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606901626-4764,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606901636-4767,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606901651-4771,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606901659-4773,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606901665-4776,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606901672-4779,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606901679-4782,8050,Apartment for Rent,1,1,0,80,"Osu ,Accra,Ghana",Listed,Furnished
1606901686-4785,14375,Apartment for Rent,2,3,0,140,"Osu ,Accra,Ghana",Listed,Furnished
1606901693-4788,7418,Apartment for Rent,2,2,0,140,"Shiashie, Accra, Ghana",Listed,Furnished
1606901701-4791,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606901708-4794,12075,Apartment for Rent,2,2,0,150,"Ringway Estates, Accra, Ghana",Listed,Furnished
1606901716-4797,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606901723-4800,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606901729-4803,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606901738-4806,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606901745-4809,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606901753-4813,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606901760-4815,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606901782-4821,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606901791-4826,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606901797-4827,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606901805-4830,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606901815-4833,8050,Apartment for Rent,1,1,0,80,"Osu ,Accra,Ghana",Listed,Furnished
1606901822-4836,14375,Apartment for Rent,2,3,0,140,"Osu ,Accra,Ghana",Listed,Furnished
